Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF 6.3V","C_0402_1005Metric",153.700000,-96.850000,180.000000,bottom
"C2","10uF 6.3V","C_0603_1608Metric",153.700000,-98.050000,180.000000,bottom
"C3","0.1uF 16V","C_0402_1005Metric",139.850000,-97.800000,270.000000,bottom
"C4","10uF 16V","C_0805_2012Metric",141.200000,-97.800000,270.000000,bottom
"C5","10000pF 16V","C_0402_1005Metric",144.400000,-105.750000,270.000000,bottom
"C6","0.1uF 16V","C_0402_1005Metric",141.750000,-106.150000,90.000000,bottom
"D1","D_Schottky","D_SOD-123",145.950000,-95.550000,0.000000,bottom
"J1","USB_C_Receptacle_USB2.0","USB-C-SMD_10P-P1.00-L6.8-W8.9",158.350000,-100.000000,-0.000000,bottom
"L1","3.3uH 1.5A","L_1008_2520Metric",150.650000,-95.800000,90.000000,bottom
"Q1","AO3400A","SOT-23",140.450000,-102.300000,-0.000000,bottom
"R1","5.1k 1%","R_0402_1005Metric",154.150000,-100.450000,0.000000,bottom
"R2","5.1k 1%","R_0402_1005Metric",154.150000,-99.400000,0.000000,bottom
"R3","33k 1%","R_0402_1005Metric",145.850000,-100.650000,0.000000,bottom
"R4","6.8k 1%","R_0402_1005Metric",143.050000,-97.512436,180.000000,bottom
"R5","100k 1%","R_0402_1005Metric",143.050000,-98.550000,0.000000,bottom
"R6","NP","R_0402_1005Metric",144.300000,-103.200000,90.000000,bottom
"R7","0","R_0402_1005Metric",152.900000,-106.500000,270.000000,bottom
"R8","560 1%","R_0402_1005Metric",152.900000,-104.500000,270.000000,bottom
"R9","220 5%","R_0402_1005Metric",143.100000,-103.200000,270.000000,bottom
"U1","FP6291","SOT-23-6",146.600000,-98.350000,180.000000,bottom
"U2","NE555D","SOIC-8_3.9x4.9mm_P1.27mm",148.600000,-104.650000,90.000000,bottom
