Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","Antenna_Chip","CHIP_ANT",153.320000,-115.950000,90.000000,bottom
"C6","DNP","C_0402_1005Metric",151.167211,-97.503682,120.000000,bottom
"C8","0.8pF 10V 5% C0G","0402_RF",154.390000,-110.480000,-74.000000,bottom
"C9","10uF 10V 20%","C_0402_1005Metric",111.900000,-101.950000,81.000000,bottom
"C11","DNP","0402_RF",153.770000,-114.740000,0.000000,bottom
"C12","DNP","0402_RF",154.770000,-112.990000,-35.000000,bottom
"C21","10nF 25V 10%","C_0402_1005Metric",130.255371,-121.858845,-147.000000,bottom
"C23","0.1uF 10V 20%","C_0402_1005Metric",144.900000,-125.950000,-163.800000,bottom
"D2","TX1812Z_2020","TX1812Z_2020",149.000000,-120.100000,155.000000,bottom
"D3","TX1812Z_2020","TX1812Z_2020",145.800000,-129.000000,106.000000,bottom
"D4","TX1812Z_2020","TX1812Z_2020",137.300000,-123.850000,57.000000,bottom
"D5","TX1812Z_2020","TX1812Z_2020",129.400000,-118.450000,8.000000,bottom
"D6","TX1812Z_2020","TX1812Z_2020",136.050000,-111.300000,-42.000000,bottom
"D7","TX1812Z_2020","TX1812Z_2020",126.500000,-111.000000,138.000000,bottom
"D8","TX1812Z_2020","TX1812Z_2020",117.110000,-110.200000,90.000000,bottom
"D9","TX1812Z_2020","TX1812Z_2020",107.700000,-110.400000,40.000000,bottom
"D10","TX1812Z_2020","TX1812Z_2020",109.500000,-101.250000,-10.000000,bottom
"D11","TX1812Z_2020","TX1812Z_2020",110.600000,-91.800000,-146.000000,bottom
"D12","TX1812Z_2020","TX1812Z_2020",113.050000,-95.350000,124.000000,bottom
"D13","TX1812Z_2020","TX1812Z_2020",104.800000,-100.550000,-10.000000,bottom
"D14","TX1812Z_2020","TX1812Z_2020",111.200000,-107.450000,40.000000,bottom
"D15","TX1812Z_2020","TX1812Z_2020",117.150000,-114.900000,90.000000,bottom
"D16","TX1812Z_2020","TX1812Z_2020",122.950000,-107.650000,137.000000,bottom
"D17","TX1812Z_2020","TX1812Z_2020",133.050000,-108.450000,48.000000,bottom
"D18","TX1812Z_2020","TX1812Z_2020",133.400000,-117.900000,8.000000,bottom
"D20","TX1812Z_2020","TX1812Z_2020",144.150000,-124.400000,106.000000,bottom
"D21","TX1812Z_2020","TX1812Z_2020",153.100000,-122.050000,155.000000,bottom
"J2","Conn_01x04","FPC-POGO-4",159.585770,-104.967722,-140.000000,bottom
"J3","Conn_01x02","Hongjie 10100 Connector",151.904568,-99.832308,-152.000000,bottom
"J4","DNP","MFH3.RECE.20369.001E.01",156.150000,-109.320000,-50.000000,bottom
"L3","0 Ohm","0402_RF",153.880000,-113.720000,-125.000000,bottom
"L5","3.9nH 5%","0402_RF",155.010000,-109.890000,-52.000000,bottom
"R1","4.02M 1%","R_0402_1005Metric",129.348430,-120.528961,33.000000,bottom
"R2","4.02M 1%","R_0402_1005Metric",129.800000,-121.200000,33.000000,bottom
"R5","100k 1%","R_0402_1005Metric",153.250000,-119.835641,151.000000,bottom
"R9","220k 1%","R_0402_1005Metric",153.650000,-119.142820,150.000000,bottom
"R10","100k 1%","R_0402_1005Metric",153.650000,-118.250000,150.000000,bottom
"TH1","NTC 100k @ 25C","R_0402_1005Metric",150.387788,-97.953682,120.000000,bottom
"U1","N52810_QFN32","QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm",151.029999,-110.820000,0.000000,bottom
"U2","KXTJ3-1057","LGA-12_2x2mm_P0.5mm",148.828603,-106.512195,179.000000,bottom
"U8-alt1","VCS2373S","SOT-23",105.310000,-103.600000,105.000000,bottom
"C1","4.7uF 10V 20%","C_0402_1005Metric",149.750000,-111.400000,73.000000,top
"C2","8pF 10V 10%","C_0402_1005Metric",151.210000,-110.890000,73.000000,top
"C3","0.1uF 10V 20%","C_0402_1005Metric",146.180000,-112.220000,165.000000,top
"C4","4.7uF 10V 20%","C_0402_1005Metric",146.940000,-109.340000,-16.000000,top
"C5","8pF 10V 10%","C_0402_1005Metric",153.670000,-109.750000,-107.000000,top
"C7","100pF NP0 10V 5%","C_0402_1005Metric",153.130000,-111.510000,180.000000,top
"C10","0.1uF 10V 20%","C_0402_1005Metric",147.174293,-108.522925,-16.000000,top
"C13","4.7uF 25V 20%","C_0603_1608Metric",138.780000,-122.760000,152.000000,top
"C15","22uF 10V 20%","C_0603_1608Metric",145.370000,-129.540000,-101.000000,top
"C16","10uF 10V 20%","C_0402_1005Metric",114.700000,-94.420000,-54.000000,top
"C18","4.7uF 10V 20%","C_0402_1005Metric",144.180000,-129.770000,-101.000000,top
"C19","12nF 50V 5% NP0","C_0805_2012Metric",139.100000,-126.229748,82.000000,top
"C22","10nF 25V 10%","C_0402_1005Metric",145.410000,-123.120000,-129.000000,top
"C24","0.1uF 10V 20%","C_0402_1005Metric",114.360000,-92.520000,-114.000000,top
"D1","BAV99S","SOT-363_SC-70-6",135.300000,-127.960000,82.000000,top
"J1","Conn_01x14","FPC_14",162.794287,-98.137317,-50.000000,top
"L1","10uH 100mA 20%","L_0805_2012Metric",150.650000,-113.300000,-17.000000,top
"L2","15nH 100mA 5%","L_0402_1005Metric",150.800000,-112.250000,163.000000,top
"R3","10k 5%","R_0402_1005Metric",110.900000,-91.120000,-114.000000,top
"R4","100k 1%","R_0402_1005Metric",146.360000,-129.880000,-101.000000,top
"R6","22k 1%","R_0402_1005Metric",107.570000,-94.330000,-59.000000,top
"R7","4.02M 1%","R_0402_1005Metric",144.130000,-122.060000,51.000000,top
"R8","10M 1%","R_0402_1005Metric",144.777555,-122.582121,-129.000000,top
"R12","2.7k 5%","R_0402_1005Metric",147.400000,-107.720000,-15.000000,top
"R16","2.7k 5%","R_0402_1005Metric",147.610000,-106.930000,-15.000000,top
"U3","PJ75BL50SA","SOT-23",136.720000,-125.000000,152.000000,top
"U4","ME6215","SOT-23-5",142.490000,-128.600000,-101.000000,top
"U5","MCP73832T-2ACI/OT","SOT-23-5",109.370000,-93.850000,123.000000,top
"U6","MT9700","SOT-23-5",112.610000,-91.860000,-112.000000,top
"U7","SN74LVC1G08","SOT-353_SC-70-5",114.960000,-98.570000,123.000000,top
"U8","VCS2373S","SOT-23",113.140767,-95.735406,125.000000,top
"Y1","32MHz 40ppm","Crystal_SMD_2016-4Pin_2.0x1.6mm",152.370000,-109.050000,-107.000000,top
