Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","Antenna_Chip","CHIP_ANT",141.679232,-115.566364,90.000000,top
"C1","4.7uF 10V 20%","C_0402_1005Metric",145.980000,-113.760000,-165.000000,top
"C2","8pF 10V 10%","C_0201_0603Metric",144.060000,-113.910000,90.000000,top
"C3","0.1uF 10V 20%","C_0201_0603Metric",148.960000,-109.990000,16.000000,top
"C4","4.7uF 10V 20%","C_0402_1005Metric",149.310000,-111.660000,-76.000000,top
"C5","8pF 10V 10%","C_0201_0603Metric",142.080000,-111.960000,-165.000000,top
"C6","0.1uF 10V 20%","C_0201_0603Metric",144.689232,-120.796364,-155.000000,top
"C7","100pF NP0 10V 2%","C_0201_0603Metric",141.440000,-110.600000,105.000000,top
"C8","0.8pF 10V 5% C0G","C_0201_0603Metric",141.750000,-109.640000,-76.000000,top
"C9","10uF 6.3V 20%","C_0402_1005Metric",183.099232,-101.566364,99.000000,top
"C10","0.1uF 10V 20%","C_0201_0603Metric",149.110000,-110.540000,15.000000,top
"C13","4.7uF 25V 20%","C_0402_1005Metric",163.840000,-114.480000,66.000000,top
"C14","0.1uF 10V 20%","C_0201_0603Metric",167.349232,-111.266364,-50.000000,top
"C15","22uF 10V 20%","C_0603_1608Metric",157.030000,-108.490000,65.000000,top
"C16","10uF 6.3V 20%","C_0402_1005Metric",147.729232,-127.956364,-119.000000,top
"C18","4.7uF 10V 20%","C_0402_1005Metric",145.939232,-126.826364,-134.000000,top
"C19","12nF 50V 5% NP0","C_0805_2012Metric",165.020000,-121.010000,-125.000000,top
"C21","10nF 25V 10%","C_0201_0603Metric",141.520000,-102.210000,15.000000,top
"C22","10nF 25V 10%","C_0201_0603Metric",145.320000,-101.420000,-165.000000,top
"C23","0.1uF 10V 20%","C_0201_0603Metric",142.188827,-98.226208,-165.000000,top
"D1","BAV99S","SOT-363_SC-70-6",165.230000,-115.440000,156.000000,top
"D2","TX1812MWCA5-F01","TX1812MWCA5-F01",145.999232,-119.716364,25.000000,top
"D3","TX1812MWCA5-F01","TX1812MWCA5-F01",141.899232,-121.686484,25.000000,top
"D4","TX1812MWCA5-F01","TX1812MWCA5-F01",149.259232,-128.546364,74.000000,top
"D5","TX1812MWCA5-F01","TX1812MWCA5-F01",150.859232,-124.056364,74.000000,top
"D6","TX1812MWCA5-F01","TX1812MWCA5-F01",157.649232,-123.456364,127.000000,top
"D7","TX1812MWCA5-F01","TX1812MWCA5-F01",165.459232,-118.016364,172.000000,top
"D8","TX1812MWCA5-F01","TX1812MWCA5-F01",161.579232,-117.526364,-168.000000,top
"D9","TX1812MWCA5-F01","TX1812MWCA5-F01",158.979232,-110.906364,-138.000000,top
"D10","TX1812MWCA5-F01","TX1812MWCA5-F01",161.919232,-108.096364,132.000000,top
"D11","TX1812MWCA5-F01","TX1812MWCA5-F01",168.479232,-110.556364,42.000000,top
"D12","TX1812MWCA5-F01","TX1812MWCA5-F01",172.070779,-107.253272,42.000000,top
"D13","TX1812MWCA5-F01","TX1812MWCA5-F01",177.829232,-109.816364,90.000000,top
"D14","TX1812MWCA5-F01","TX1812MWCA5-F01",177.859232,-114.526364,90.000000,top
"D15","TX1812MWCA5-F01","TX1812MWCA5-F01",187.279232,-110.016364,140.000000,top
"D16","TX1812MWCA5-F01","TX1812MWCA5-F01",183.784117,-107.106364,140.000000,top
"D17","TX1812MWCA5-F01","TX1812MWCA5-F01",185.509232,-100.836364,-170.000000,top
"D18","TX1812MWCA5-F01","TX1812MWCA5-F01",190.219232,-100.186364,-170.000000,top
"D19","TX1812MWCA5-F01","TX1812MWCA5-F01",184.359232,-91.416364,-124.000000,top
"D20","TX1812MWCA5-F01","TX1812MWCA5-F01",181.929232,-95.006364,-124.000000,top
"J1","Conn_01x14","FPC_14",128.058081,-102.720541,50.000000,top
"J2","Conn_01x04","FPC-POGO-4",135.413462,-104.584086,-40.000000,top
"L1","10uH 100mA 20%","L_0603_1608Metric",148.540000,-112.320000,-75.000000,top
"L2","15nH 100mA 5%","L_0201_0603Metric",147.330000,-113.190000,-165.000000,top
"L3","0 Ohm","R_0201_0603Metric",141.470000,-113.870000,-75.000000,top
"L5","3.9nH 5%","L_0201_0603Metric",140.770000,-109.630000,-165.000000,top
"R1","3.9M 1%","R_0201_0603Metric",141.676757,-102.779287,-165.000000,top
"R2","3.9M 1%","R_0201_0603Metric",141.360227,-101.652356,-165.000000,top
"R3","24.3k 1%","R_0201_0603Metric",145.179761,-113.241599,15.000000,top
"R4","10k 1%","R_0201_0603Metric",158.020000,-108.390000,65.000000,top
"R5","100k 1%","R_0201_0603Metric",145.040000,-112.720000,-165.000000,top
"R6","3.57k 1%","R_0201_0603Metric",143.300000,-100.340000,15.000000,top
"R7","3.9M 1%","R_0201_0603Metric",146.100000,-100.910000,105.000000,top
"R8","10M 1%","R_0201_0603Metric",145.169096,-100.857174,-165.000000,top
"R9","100k 1%","R_0201_0603Metric",145.184103,-118.408188,0.000000,top
"R10","3.9k 1%","R_0201_0603Metric",140.620001,-119.879999,0.000000,top
"R11","3.9k 1%","R_0201_0603Metric",140.620000,-120.470000,0.000000,top
"R12","510R 1%","R_0201_0603Metric",143.828827,-97.746208,-165.000000,top
"TH1","NTC 100k @ 25C","R_0201_0603Metric",145.200000,-117.840000,180.000000,top
"U1","N52810_QFN32","QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm",145.043575,-109.191441,-165.000000,top
"U2","SC7A20HTR","LGA-12_2x2mm_P0.5mm",143.689232,-124.206364,-40.000000,top
"U3","PJ75BL50SA","SOT-23",156.330000,-112.910000,40.000000,top
"U4","ME6230","FPB1_1-4",146.664936,-127.543207,-134.000000,top
"U5","BL24C02F-NTRC","TDFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.4mm",141.759232,-118.356364,0.000000,top
"U6","AW35122","AW35122",147.899232,-119.706364,-65.000000,top
"U7","DS6101","UDFN-4-1EP_1x1mm_P0.65mm_EP0.48x0.48mm",143.406311,-99.182516,-75.000000,top
"U8","SL1605","SOT-553",183.156090,-93.264613,-34.000000,top
"U9","XT4051","SOT-553",143.220000,-101.840000,-165.000000,top
