Ref,Val,Package,PosX,PosY,Rot,Side
"AE2","ARC","ARC_Antenna",-264.348292,-112.073361,32.000000,bottom
"C6","10nF 25V 10%","C_0402_1005Metric",-264.545917,-131.952445,180.000000,bottom
"C8","?? NP0","C_0402_1005Metric",-258.200000,-109.720000,150.000000,bottom
"C9","4.7uF 6.3V 20%","C_0402_1005Metric",-217.620000,-98.390000,-90.000000,bottom
"C11","?? NP0","C_0402_1005Metric",-260.580000,-112.360000,-90.000000,bottom
"C16","4.7uF 6.3V 20%","C_0402_1005Metric",-253.690000,-137.470000,180.000000,bottom
"C21","10nF 25V 10%","C_0402_1005Metric",-252.090000,-125.130000,-18.000000,bottom
"C22","10nF 25V 10%","C_0402_1005Metric",-253.356761,-126.868318,54.000000,bottom
"C23","0.1uF 10V 20%","C_0402_1005Metric",-236.230000,-124.430000,90.000000,bottom
"D2","TX1812Z_2020","TX1812Z_2020",-256.050000,-124.430000,180.000000,bottom
"D3","TX1812Z_2020","TX1812Z_2020",-261.510000,-131.940000,180.000000,bottom
"D4","TX1812Z_2020","TX1812Z_2020",-252.915902,-134.810000,70.000000,bottom
"D5","TX1812Z_2020","TX1812Z_2020",-243.850000,-131.940000,60.000000,bottom
"D6","TX1812Z_2020","TX1812Z_2020",-238.400000,-124.430000,0.000000,bottom
"D7","TX1812Z_2020","TX1812Z_2020",-238.400000,-115.150000,0.000000,bottom
"D8","TX1812Z_2020","TX1812Z_2020",-232.940000,-107.650000,0.000000,bottom
"D9","TX1812Z_2020","TX1812Z_2020",-232.950000,-98.370000,0.000000,bottom
"D10","TX1812Z_2020","TX1812Z_2020",-227.490000,-90.870000,55.000000,bottom
"D11","TX1812Z_2020","TX1812Z_2020",-218.670000,-87.990000,90.000000,bottom
"D12","TX1812Z_2020","TX1812Z_2020",-209.840000,-91.095902,160.000000,bottom
"D13","TX1812Z_2020","TX1812Z_2020",-215.300000,-98.370000,180.000000,bottom
"J3","Conn_01x02","Hongjie 10100 Connector",-256.040000,-102.530000,0.000000,bottom
"L5","??","L_0402_1005Metric",-259.570000,-110.860000,-50.000000,bottom
"R1","4.02M 1%","R_0402_1005Metric",-252.346484,-124.340622,162.000000,bottom
