Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","Antenna_Chip","CHIP_ANT",119.457918,-109.310973,62.500000,top
"C1","4.7uF 10V 20%","C_0402_1005Metric",120.220000,-110.540000,90.000000,top
"C2","8pF 10V 10%","C_0201_0603Metric",122.240000,-107.880000,180.000000,top
"C3","0.1uF 10V 20%","C_0201_0603Metric",121.950000,-114.106000,180.000000,top
"C4","4.7uF 10V 20%","C_0402_1005Metric",128.570000,-112.260000,65.000000,top
"C5","8pF 10V 10%","C_0201_0603Metric",124.170000,-106.126000,-90.000000,top
"C6","0.1uF 10V 20%","C_0201_0603Metric",143.580000,-111.516000,90.000000,top
"C7","100pF NP0 10V 2%","C_0201_0603Metric",124.160000,-107.346000,90.000000,top
"C8","0.8pF 10V 5% C0G","C_0201_0603Metric",125.070000,-107.396000,180.000000,top
"C9","10uF 6.3V 20%","C_0402_1005Metric",129.000000,-122.116000,20.000000,top
"C10","0.1uF 10V 20%","C_0201_0603Metric",121.470000,-108.600000,180.000000,top
"C13","4.7uF 25V 20%","C_0402_1005Metric",128.190000,-135.146000,-55.000000,top
"C15","22uF 10V 20%","C_0603_1608Metric",124.670000,-95.916000,0.000000,top
"C16","10uF 6.3V 20%","C_0402_1005Metric",128.469728,-127.327659,-90.000000,top
"C18","4.7uF 10V 20%","C_0402_1005Metric",126.196313,-127.352447,-90.000000,top
"C19","12nF 50V 5% NP0","C_0805_2012Metric",144.960000,-122.940000,35.000000,top
"C21","10nF 25V 10%","C_0201_0603Metric",124.450000,-118.560000,-90.000000,top
"C22","10nF 25V 10%","C_0201_0603Metric",128.270724,-106.270531,41.000000,top
"C23","0.1uF 10V 20%","C_0201_0603Metric",123.770000,-96.806000,180.000000,top
"C24","0.1uF 10V 20%","C_0201_0603Metric",163.900000,-94.416000,-90.000000,top
"D1","BAV99S","SOT-363_SC-70-6",129.040000,-134.026000,125.000000,top
"D2","TX1812MWCA5-F01","TX1812MWCA5-F01",124.690000,-120.502903,0.000000,top
"D3","TX1812MWCA5-F01","TX1812MWCA5-F01",119.230000,-128.012903,0.000000,top
"D4","TX1812MWCA5-F01","TX1812MWCA5-F01",127.968050,-130.816000,145.000000,top
"D5","TX1812MWCA5-F01","TX1812MWCA5-F01",136.890000,-128.012903,120.000000,top
"D6","TX1812MWCA5-F01","TX1812MWCA5-F01",142.340000,-120.502903,180.000000,top
"D7","TX1812MWCA5-F01","TX1812MWCA5-F01",142.340000,-111.222903,180.000000,top
"D8","TX1812MWCA5-F01","TX1812MWCA5-F01",147.800000,-103.722903,180.000000,top
"D9","TX1812MWCA5-F01","TX1812MWCA5-F01",147.790000,-94.442903,180.000000,top
"D10","TX1812MWCA5-F01","TX1812MWCA5-F01",153.250000,-86.942903,125.000000,top
"D11","TX1812MWCA5-F01","TX1812MWCA5-F01",162.070000,-84.062903,90.000000,top
"D12","TX1812MWCA5-F01","TX1812MWCA5-F01",170.900000,-87.168805,50.000000,top
"D13","TX1812MWCA5-F01","TX1812MWCA5-F01",165.440000,-94.442903,0.000000,top
"L1","10uH 100mA 20%","L_0603_1608Metric",120.870000,-112.666000,120.000000,top
"L2","15nH 100mA 5%","L_0201_0603Metric",121.170000,-111.550000,120.000000,top
"L3","0 Ohm","R_0201_0603Metric",120.490000,-107.850000,-90.000000,top
"L5","3.9nH 5%","L_0201_0603Metric",125.080000,-106.476000,115.000000,top
"R1","3.9M 1%","R_0201_0603Metric",125.024998,-118.560000,90.000000,top
"R2","3.9M 1%","R_0201_0603Metric",123.880010,-118.560005,90.000000,top
"R3","681k 1%","R_0201_0603Metric",121.030000,-109.860000,-90.000000,top
"R4","10k 1%","R_0201_0603Metric",124.660000,-95.106000,0.000000,top
"R5","100k 1%","R_0201_0603Metric",121.600000,-109.859998,90.000000,top
"R6","3.9k 1%","R_0201_0603Metric",123.770000,-101.306000,90.000000,top
"R7","3.9M 1%","R_0201_0603Metric",128.640368,-106.718293,-139.000000,top
"R8","10M 1%","R_0201_0603Metric",127.900000,-105.826000,41.000000,top
"R9","100k 1%","R_0201_0603Metric",122.715000,-119.795998,0.000000,top
"R10","3.9k 1%","R_0201_0603Metric",116.200000,-126.600000,0.000000,top
"R11","3.9k 1%","R_0201_0603Metric",117.350000,-126.330000,-90.000000,top
"R12","510R 1%","R_0201_0603Metric",125.060000,-96.796000,180.000000,top
"TH1","NTC 100k @ 25C","R_0201_0603Metric",122.710000,-120.356000,180.000000,top
"U1","N52810_QFN32","QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm",124.792500,-110.916000,90.000000,top
"U2","SC7A20HTR","LGA-12_2x2mm_P0.5mm",119.120000,-131.006000,0.000000,top
"U3","PJ75BL50SA","SOT-23",125.860000,-132.766000,-125.000000,top
"U4","ME6230","FPB1_1-4",127.360000,-127.366000,-90.000000,top
"U5","BL24C02F-NTRC","TDFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.4mm",116.530003,-128.950998,90.000000,top
"U6","AW35122","AW35122",128.860000,-121.126000,110.000000,top
"U7","DS6101","UDFN-4-1EP_1x1mm_P0.65mm_EP0.48x0.48mm",125.130003,-97.980999,0.000000,top
"U8","SL1605","SOT-553",145.570000,-103.746000,-90.000000,top
"U9","XT4051","SOT-553",125.040000,-100.926000,-90.000000,top
"Y1","32MHz 40ppm","Crystal_SMD_2016-4Pin_2.0x1.6mm",122.960000,-106.476000,-90.000000,top
