"Source:","C:\Projects\Pixels-dice\Electrical\Dice\D6\D6v3\Main.kicad_sch"
"Date:","7/26/2022 10:32:05 PM"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","80"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Generic OK","Manufacturer","Manufacturer Part Number","Pixels Part Number"
"","","AE2","ARC","Device:Antenna","Pixels-dice:ARC_Antenna","~","N/A","AEM Antennas","",""
"","","C1","4.7uF 6.3V 20%","Device:C","Capacitor_SMD:C_0402_1005Metric","~","YES","Murata","GRM155R60J475ME87D","SMD-C002"
"","","C2","8pF 10V 10%","Device:C","Capacitor_SMD:C_0402_1005Metric","~","YES","Murata","GRM1555C2A8R0DA01D","SMD-C001"
"","","C3","0.1uF 10V 20%","Device:C","Capacitor_SMD:C_0402_1005Metric","~","YES","Murata","GRM155R61H104KE19D","SMD-C005"
"","","C4","4.7uF 6.3V 20%","Device:C","Capacitor_SMD:C_0402_1005Metric","~","YES","Murata","GRM155R60J475ME87D","SMD-C002"
"","","C5","8pF 10V 10%","Device:C","Capacitor_SMD:C_0402_1005Metric","~","YES","Murata","GRM1555C2A8R0DA01D","SMD-C001"
"","","C6","10nF 25V 10%","Device:C","Capacitor_SMD:C_0402_1005Metric","~","YES","Yageo","AC0402KPX7R9BB103","SMD-C009"
"","","C7","100pF NP0 10V 5%","Device:C","Capacitor_SMD:C_0402_1005Metric","~","YES","Kemet","C0402C101J5GAC7411","SMD-C003"
"","","C8","0.8pF 10V 5% NP0","Device:C","Pixels-dice:0402_RF","~","YES","Murata","GCM1555C1HR80BA16D","SMD-C004"
"","","C9","4.7uF 6.3V 20%","Device:C","Capacitor_SMD:C_0402_1005Metric","~","YES","Murata","GRM155R60J475ME87D","SMD-C002"
"","","C10","0.1uF 10V 20%","Device:C","Capacitor_SMD:C_0402_1005Metric","~","YES","Murata","GRM155R61H104KE19D","SMD-C005"
"","","C11","1.8pF 10V 5% NP0","Device:C","Pixels-dice:0402_RF","~","YES","Murata","GCM1555C1H1R8BA16D","SMD-C004"
"","","C13","4.7uF 25V 20%","Device:C","Capacitor_SMD:C_0603_1608Metric","~","YES","Murata","GRM188R61E475KE11D","SMD-C010"
"","","C15","4.7uF 6.3V 20%","Device:C","Capacitor_SMD:C_0402_1005Metric","~","YES","Murata","GRM155R60J475ME87D","SMD-C002"
"","","C16","4.7uF 6.3V 20%","Device:C","Capacitor_SMD:C_0402_1005Metric","~","YES","Murata","GRM155R60J475ME87D","SMD-C002"
"","","C17","22pF 10V 5%","Device:C","Capacitor_SMD:C_0402_1005Metric","~","YES","Yageo","CC0402JRNPO9BN220","SMD-C007"
"","","C18","4.7uF 6.3V 20%","Device:C","Capacitor_SMD:C_0402_1005Metric","~","YES","Murata","GRM155R60J475ME87D","SMD-C002"
"","","C19","33nF 50V 5% NP0","Device:C","Capacitor_SMD:C_1206_3216Metric","~","YES","Murata","GRM3195C1H333JA01J","SMD-C011"
"","","C21","10nF 25V 10%","Device:C","Capacitor_SMD:C_0402_1005Metric","~","YES","Yageo","AC0402KPX7R9BB103","SMD-C009"
"","","C22","10nF 25V 10%","Device:C","Capacitor_SMD:C_0402_1005Metric","~","YES","Yageo","AC0402KPX7R9BB103","SMD-C009"
"","","C23","0.1uF 10V 20%","Device:C","Capacitor_SMD:C_0402_1005Metric","~","YES","Murata","GRM155R61H104KE19D","SMD-C005"
"","","D1","BAV99S","Pixels-dice:BAV99S-diode","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://assets.nexperia.com/documents/data-sheet/BAV99_SER.pdf","YES","Nexperia","BAV99S,115","SMD-D001"
"","","D2","TX1812Z_2020","Pixels-dice:TX1812Z_2020","Pixels-dice:TX1812Z_2020","","NO","TCWIN","TX1812Z 2020","SMD-D002-ALT2"
"","","D3","TX1812Z_2020","Pixels-dice:TX1812Z_2020","Pixels-dice:TX1812Z_2020","","NO","TCWIN","TX1812Z 2020","SMD-D002-ALT2"
"","","D4","TX1812Z_2020","Pixels-dice:TX1812Z_2020","Pixels-dice:TX1812Z_2020","","NO","TCWIN","TX1812Z 2020","SMD-D002-ALT2"
"","","D5","TX1812Z_2020","Pixels-dice:TX1812Z_2020","Pixels-dice:TX1812Z_2020","","NO","TCWIN","TX1812Z 2020","SMD-D002-ALT2"
"","","D6","TX1812Z_2020","Pixels-dice:TX1812Z_2020","Pixels-dice:TX1812Z_2020","","NO","TCWIN","TX1812Z 2020","SMD-D002-ALT2"
"","","D7","TX1812Z_2020","Pixels-dice:TX1812Z_2020","Pixels-dice:TX1812Z_2020","","NO","TCWIN","TX1812Z 2020","SMD-D002-ALT2"
"","","J1","Conn_01x14","Connector_Generic:Conn_01x14","Pixels-dice:FPC_14","~","N/A","","",""
"","","J2","Conn_01x11","Connector_Generic:Conn_01x11","Pixels-dice:FPC-POGO-11","~","N/A","","",""
