"Source:","C:\Projects\Pixels-dice\Electrical\Dice\D6\D6v4\Main.kicad_sch"
"Date:","11/29/2022 6:24:24 PM"
""
"Item","Qty","Reference(s)","Value","Footprint","Generic OK","Manufacturer","Manufacturer Part Number","Pixels Part Number"
"1","1","AE2","Antenna_Chip","Pixels-dice:CHIP_ANT","NO","Microgate","MGMA3216H2450-A02",""
"2","5","C1, C4, C9, C16, C18","10uF 10V 20%","Pixels-dice:C_0402_1005Metric","YES","Murata","GRM155R61A106ME11D","SMD-C002"
"3","2","C2, C5","8pF 10V 10%","Capacitor_SMD:C_0402_1005Metric","YES","Murata","GRT1555C2A8R0DA02","SMD-C001"
"4","4","C3, C6, C10, C23","0.1uF 10V 20%","Capacitor_SMD:C_0402_1005Metric","YES","Murata","GRM155R61H104KE19D","SMD-C005"
"5","1","C7","100pF NP0 10V 5%","Capacitor_SMD:C_0402_1005Metric","YES","Murata","GCM1555C1H101JA16J","SMD-C003"
"6","1","C8","0.8pF 10V 5% C0G","Pixels-dice:0402_RF","YES","Murata","GJM1555C1HR80BB01","SMD-C004"
"7","1","C12","0.5pF 10V 5% C0G","Pixels-dice:0402_RF","YES","Murata","GJM1555C1HR50BB01","SMD-C004"
"8","1","C13","4.7uF 25V 20%","Capacitor_SMD:C_0603_1608Metric","YES","Murata","GRM188R61E475KE11D","SMD-C010"
"9","1","C15","22uF 10V 20%","Capacitor_SMD:C_0603_1608Metric","YES","Murata","ZRB18AR61A226ME01L","SMD-C002"
"10","1","C19","33nF 50V 5% NP0","Capacitor_SMD:C_1206_3216Metric","YES","Murata","GRM3195C1H333JA01J","SMD-C011"
"11","2","C21, C22","10nF 25V 10%","Capacitor_SMD:C_0402_1005Metric","YES","Murata","GRM155R71H103KA88","SMD-C009"
"12","1","D1","BAV99S","Package_TO_SOT_SMD:SOT-363_SC-70-6","YES","Nexperia","BAV99S,115","SMD-D001"
"13","6","D2, D3, D4, D5, D6, D7","TX1812Z_2020","Pixels-dice:TX1812Z_2020","NO","TCWIN","TX1812Z 2020","SMD-D002-ALT2"
"14","1","L1","10uH 100mA 10%","Inductor_SMD:L_0805_2012Metric","YES","Murata","LQM21FN100M80L","SMD-L001"
"15","1","L2","15nH 100mA 5%","Inductor_SMD:L_0402_1005Metric","YES","Murata","LQG15HS15NJ02D","SMD-L002"
"16","1","L3","1.8nH 5%","Pixels-dice:0402_RF","YES","Murata","LQG15HZ1N8C02D",""
"17","1","L5","3.9nH 5%","Pixels-dice:0402_RF","YES","Murata","LQG15HS3N9B02D",""
"18","3","R1, R2, R7","4.02M 1%","Resistor_SMD:R_0402_1005Metric","YES","UNI-ROYAL(Uniroyal Elec)","0402WGF4024TCE","SMD-R003"
"19","1","R3","10k 5%","Resistor_SMD:R_0402_1005Metric","YES","UNI-ROYAL(Uniroyal Elec)","0402WGJ0103TCE","SMD-R002"
"20","2","R4, R5","100k 1%","Pixels-dice:R_0402_1005Metric","YES","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","SMD-R006"
"21","1","R6","22k 1%","Resistor_SMD:R_0402_1005Metric","YES","UNI-ROYAL(Uniroyal Elec)","0402WGF2202TCE","SMD-R002"
"22","1","R8","10M 1%","Resistor_SMD:R_0402_1005Metric","YES","UNI-ROYAL(Uniroyal Elec)","0402WGF1005TCE","SMD-R004"
"23","1","R9","120k 1%","Resistor_SMD:R_0402_1005Metric","YES","UNI-ROYAL(Uniroyal Elec)","0402WGF1203TCE",""
"24","1","R10","100k 1%","Resistor_SMD:R_0402_1005Metric","YES","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","SMD-R006"
"25","2","R12, R16","2.7k 5%","Resistor_SMD:R_0402_1005Metric","YES","UNI-ROYAL(Uniroyal Elec)","0402WGJ0272TCE","SMD-R021"
"26","1","TH1","NTC 100k @ 25C","Pixels-dice:R_0402_1005Metric","NO","TDK","NTCG104EF104FT1X",""
"27","1","U1","N52810_QFN32","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm","NO","Nordic Semiconductor","NRF52810-QCAA-R","SMD-U001"
"28","1","U2","KXTJ3-1057","Package_LGA:LGA-12_2x2mm_P0.5mm","NO","Kionix","KXTJ3-1057","SMD-U002-ALT1"
"29","1","U3","PJ75AL50SA","Pixels-dice:SOT-23","NO","PJSEMI","PJ75AL50SA",""
"30","1","U4","ME6215","Pixels-dice:SOT-23-5","NO","MICRONE(Nanjing Micro One Elec)","ME6215C30M5G",""
"31","1","U5","MCP73832T-2ACI/OT","Package_TO_SOT_SMD:SOT-23-5","NO","Microchip","MCP73832T-2ACI/OT","SMD-U005"
"32","1","U6","MT9700","Pixels-dice:SOT-23-5","NO","XI'AN Aerosemi Tech","MT9700","SMD-U006-ALT2"
"33","1","U7","SN74LVC1G08","Pixels-dice:SOT-353_SC-70-5","YES","UMW(Youtai Semiconductor Co., Ltd.)","SN74LVC1G08DCKR","SMD-U007"
"34","1","U8","TMR1366","Package_TO_SOT_SMD:SOT-23","NO","Multi Dimension","TMR1366S","SMD-U008-ALT8"
"35","1","Y1","32MHz 40ppm","Pixels-dice:Crystal_SMD_2016-4Pin_2.0x1.6mm","YES","Murata","XRCGB32M000F2P00R0","SMD-Y001"
