"Reference","Value","Datasheet","Footprint","Qty","DNP","Manufacturer","Manufacturer Part Number"
"AE2","Antenna_Chip","~","Pixels-dice:CHIP_ANT","1","","Microgate","MGMA3216H2450-A02"
"C1,C4,C18","4.7uF 10V 20%","~","Pixels-dice:C_0402_1005Metric","3","","Murata","GRM155R61A475MEAAJ"
"C2,C5","8pF 10V 10%","~","Capacitor_SMD:C_0402_1005Metric","2","","Murata","GRT1555C2A8R0DA02"
"C3,C10,C14,C17,C20,C23,C24,C25","0.1uF 10V 20%","~","Capacitor_SMD:C_0402_1005Metric","8","","Murata","GRM155R61H104KE19D"
"C7","100pF NP0 10V 5%","~","Capacitor_SMD:C_0402_1005Metric","1","","Murata","GCM1555C1H101JA16J"
"C8","0.8pF 10V 5% C0G","~","Pixels-dice:0402_RF","1","","Murata","GJM1555C1HR80BB01"
"C9,C16","10uF 10V 20%","~","Pixels-dice:C_0402_1005Metric","2","","Murata","GRM155R60J106ME05D"
"C11,C12,J4","DNP","-- mixed values --","-- mixed values --","3","DNP","",""
"C13","4.7uF 25V 20%","~","Capacitor_SMD:C_0603_1608Metric","1","","Murata","GRM188R61E475KE11D"
"C15","22uF 10V 20%","~","Capacitor_SMD:C_0603_1608Metric","1","","Murata","GRM188R61A226ME15D"
"C19","12nF 50V 5% NP0","~","Capacitor_SMD:C_0805_2012Metric","1","","Murata","GRM2195C1H123JA01D"
"C21,C22","10nF 25V 10%","~","Capacitor_SMD:C_0402_1005Metric","2","","Murata","GRM155R71H103KA88"
"D1","BAV99S","https://assets.nexperia.com/documents/data-sheet/BAV99_SER.pdf","Package_TO_SOT_SMD:SOT-363_SC-70-6","1","","Nexperia","BAV99S,115"
"D2,D3,D6,D7,D8,D9,D10,D12,D13,D14,D15,D16,D17,D18,D19,D20,D21,D22,D23,D24,D25","TX1812Z-2020","","Pixels-dice:TX1812Z_2020","21","","TCWIN","TX1812Z 2020"
"D27,D28,D29,D30,D31","TX1812EXA5-F10-3535","","Pixels-dice:TX1812EXA5-F10-3535","5","","",""
"L1","10uH 100mA 10%","~","Inductor_SMD:L_0805_2012Metric","1","","Murata","LQM21FN100M80L"
"L2","15nH 100mA 5%","~","Inductor_SMD:L_0402_1005Metric","1","","Murata","LQG15HS15NJ02D"
"L3","2.7nH 5%","~","Pixels-dice:0402_RF","1","","Murata","LQG15HN2N7C02D"
"L5","3.9nH 5%","~","Pixels-dice:0402_RF","1","","Murata","LQG15HS3N9B02D"
"R1,R2,R7","4.02M 1%","~","Resistor_SMD:R_0402_1005Metric","3","","UNI-ROYAL(Uniroyal Elec)","0402WGF4024TCE"
"R3","10k 5%","~","Resistor_SMD:R_0402_1005Metric","1","","UNI-ROYAL(Uniroyal Elec)","0402WGJ0103TCE"
"R4,R5,R10","100k 1%","~","-- mixed values --","3","","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE"
"R6","18k 1%","~","Resistor_SMD:R_0402_1005Metric","1","","UNI-ROYAL(Uniroyal Elec)","0402WGF1802TCE"
"R8","10M 1%","~","Resistor_SMD:R_0402_1005Metric","1","","UNI-ROYAL(Uniroyal Elec)","0402WGF1005TCE"
"R9","49.9k 1%","~","Resistor_SMD:R_0402_1005Metric","1","","UNI-ROYAL(Uniroyal Elec)","0402WGF4992TCE"
"R12,R16","2.7k 5%","~","Resistor_SMD:R_0402_1005Metric","2","","UNI-ROYAL(Uniroyal Elec)","0402WGJ0272TCE"
"TH1","NTC 100k @ 25C","~","Pixels-dice:R_0402_1005Metric","1","","TDK","NTCG104EF104FT1X"
"U1","N52810_QFN32","","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm","1","","Nordic Semiconductor","NRF52810-QCAA-R"
"U2","KXTJ3-1057","","Package_LGA:LGA-12_2x2mm_P0.5mm","1","","Kionix","KXTJ3-1057"
"U3","PJ75BL50SA","","Pixels-dice:SOT-23","1","","PJSEMI","PJ75BL50SA"
"U4","ME6215","","Pixels-dice:SOT-23-5","1","","MICRONE(Nanjing Micro One Elec)","ME6215C30M5G"
"U5","MCP73832T-2ACI/OT","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf","Package_TO_SOT_SMD:SOT-23-5","1","","Microchip","MCP73832T-2ACI/OT"
"U6","MT9700","","Pixels-dice:SOT-23-5","1","","XI'AN Aerosemi Tech","MT9700"
"U7","SN74LVC1G08","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","Pixels-dice:SOT-353_SC-70-5","1","","UMW(Youtai Semiconductor Co., Ltd.)","SN74LVC1G08DCKR"
"U8","VCS2373S","","Package_TO_SOT_SMD:SOT-23","1","","HUAXIN","VCS2373S"
"U9","VCS2373S","","Package_TO_SOT_SMD:SOT-23","1","DNP","HUAXIN","VCS2373S"
"Y1","32MHz 40ppm","~","Pixels-dice:Crystal_SMD_2016-4Pin_2.0x1.6mm","1","","Murata","XRCGB32M000F2P00R0"
