Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","Antenna_Chip","CHIP_ANT",154.251549,-74.999277,25.000000,bottom
"C1","4.7uF 10V 20%","C_0402_1005Metric",146.040000,-74.980000,0.000000,bottom
"C2","8pF 10V 10%","C_0201_0603Metric",148.620000,-75.200000,89.000000,bottom
"C3","0.1uF 10V 20%","C_0201_0603Metric",144.410000,-78.110000,120.000000,bottom
"C4","4.7uF 10V 20%","C_0402_1005Metric",148.450000,-82.650000,32.000000,bottom
"C5","8pF 10V 10%","C_0201_0603Metric",151.150000,-75.310000,-90.000000,bottom
"C6","0.1uF 10V 20%","C_0201_0603Metric",150.780000,-78.770000,-70.000000,bottom
"C7","100pF NP0 10V 2%","C_0201_0603Metric",147.170000,-75.220000,90.000000,bottom
"C8","0.8pF 10V 5% C0G","0402_RF",148.180000,-76.960000,75.000000,bottom
"C9","10uF 6.3V 20%","C_0402_1005Metric",134.520000,-77.090000,120.000000,bottom
"C10","0.1uF 10V 20%","C_0201_0603Metric",145.470000,-79.820000,122.000000,bottom
"C11","DNP","0402_RF",152.750000,-75.570000,140.000000,bottom
"C12","DNP","0402_RF",151.090000,-76.890000,90.000000,bottom
"C13","4.7uF 25V 20%","C_0402_1005Metric",151.200000,-58.300000,-90.000000,bottom
"C14","0.1uF 10V 20%","C_0201_0603Metric",109.400000,-56.490000,90.000000,bottom
"C15","22uF 10V 20%","C_0603_1608Metric",148.500000,-53.630000,180.000000,bottom
"C16","10uF 6.3V 20%","C_0402_1005Metric",128.390000,-75.150000,-149.000000,bottom
"C18","4.7uF 10V 20%","C_0402_1005Metric",129.740000,-77.410000,-149.000000,bottom
"C19","12nF 50V 5% NP0","C_0805_2012Metric",132.920000,-81.980000,-59.000000,bottom
"C21","10nF 25V 10%","C_0201_0603Metric",149.530000,-64.840000,90.000000,bottom
"C22","10nF 25V 10%","C_0201_0603Metric",148.220119,-64.840759,90.000000,bottom
"C23","0.1uF 10V 20%","C_0201_0603Metric",149.590000,-54.610000,0.000000,bottom
"D1","BAV99S","SOT-363_SC-70-6",130.760000,-79.280000,-59.000000,bottom
"D2","TX1812MWCA5-F01","TX1812MWCA5-F01",149.220000,-78.690000,165.000000,bottom
"D3","TX1812MWCA5-F01","TX1812MWCA5-F01",141.070000,-82.560000,90.000000,bottom
"D4","TX1812MWCA5-F01","TX1812MWCA5-F01",133.520000,-78.220000,30.000000,bottom
"D5","TX1812MWCA5-F01","TX1812MWCA5-F01",133.520000,-69.540000,0.000000,bottom
"D6","TX1812MWCA5-F01","TX1812MWCA5-F01",126.000000,-65.190000,90.000000,bottom
"D7","TX1812MWCA5-F01","TX1812MWCA5-F01",118.410000,-69.550000,90.000000,bottom
"D8","TX1812MWCA5-F01","TX1812MWCA5-F01",110.940000,-65.180000,30.000000,bottom
"D9","TX1812MWCA5-F01","TX1812MWCA5-F01",110.960000,-56.500000,0.000000,bottom
"J1","Conn_01x14","FPC_14",162.020000,-95.890000,60.000000,bottom
"J2","Conn_01x04","FPC-POGO-4",157.782328,-89.604460,-30.000000,bottom
"J3","Conn_01x02","Hongjie 10100 Solder Tabs",148.577825,-56.028319,0.000000,bottom
"L1","10uH 100mA 20%","C_1.2x1.8",143.710000,-75.170000,0.000000,bottom
"L2","15nH 100mA 5%","L_0402_1005Metric",144.910000,-76.160000,0.000000,bottom
"L3","0 Ohm","0402_RF",152.170000,-76.750000,45.000000,bottom
"L5","3.9nH 5%","0402_RF",149.600000,-77.140000,-15.000000,bottom
"Q1","ZSPT-Z1608C-06F-Z4","D_0603_1608Metric",126.010000,-67.230002,180.000000,bottom
"R1","3.9M 1%","R_0201_0603Metric",148.910000,-64.840003,-90.000000,bottom
