Ref,Val,Package,PosX,PosY,Rot,Side
C2,8pF 10V 10%,C_0402_1005Metric,-135.71,-93.24,180,bottom
C6,DNP,C_0402_1005Metric,-168.84,-119.33,-90,bottom
C7,100pF NP0 10V 5%,C_0402_1005Metric,-133.91,-93.38,-90,bottom
C24,0.1uF 10V 20%,C_0402_1005Metric,-146.2,-93.95,90,bottom
D2,TX1812Z_2020,TX1812Z_2020,-132.08,-78.77,90,bottom
D3,TX1812Z_2020,TX1812Z_2020,-128.08,-86.94,90,bottom
D4,TX1812Z_2020,TX1812Z_2020,-128.09,-94.94,180,bottom
D5,TX1812Z_2020,TX1812Z_2020,-136.085902,-94.94,-90,bottom
D6,TX1812Z_2020,TX1812Z_2020,-136.08,-86.94,-90,bottom
D7,TX1812Z_2020,TX1812Z_2020,-140.25,-86.94,-90,bottom
D8,TX1812Z_2020,TX1812Z_2020,-148.26,-94.94,-90,bottom
D9,TX1812Z_2020,TX1812Z_2020,-152.42,-86.94,-90,bottom
D10,TX1812Z_2020,TX1812Z_2020,-156.42,-90.94,-90,bottom
D11,TX1812Z_2020,TX1812Z_2020,-160.42,-94.94,-90,bottom
D12,TX1812Z_2020,TX1812Z_2020,-164.6,-94.94,180,bottom
D13,TX1812Z_2020,TX1812Z_2020,-168.6,-90.94,0,bottom
D14,TX1812Z_2020,TX1812Z_2020,-164.6,-86.94,0,bottom
D15,TX1812Z_2020,TX1812Z_2020,-172.6,-86.94,180,bottom
D16,TX1812Z_2020,TX1812Z_2020,-172.6,-94.94,180,bottom
D17,TX1812Z_2020,TX1812Z_2020,-172.585902,-99.2,180,bottom
D18,TX1812Z_2020,TX1812Z_2020,-168.59,-99.11,90,bottom
D19,TX1812Z_2020,TX1812Z_2020,-164.59,-99.11,90,bottom
D20,TX1812Z_2020,TX1812Z_2020,-164.59,-107.11,-90,bottom
D21,TX1812Z_2020,TX1812Z_2020,-168.59,-107.11,-90,bottom
D22,TX1812Z_2020,TX1812Z_2020,-172.59,-107.11,-90,bottom
J2,Conn_01x04,FPC-POGO-4,-115.58,-89.88,180,bottom
J3,Conn_01x02,Hongjie 10100 Connector,-168.290601,-115.336035,180,bottom
R5,100k 1%,R_0402_1005Metric,-167.12,-86.9,180,bottom
R6,22k 1%,R_0402_1005Metric,-170.19,-86.9,0,bottom
R12,2.7k 5%,R_0402_1005Metric,-129.7,-90.02,180,bottom
R16,2.7k 5%,R_0402_1005Metric,-129.73,-88.54,180,bottom
TH1,NTC 100k @ 25C,R_0402_1005Metric,-167.94,-119.32,-90,bottom
AE1,Antenna_Chip,CHIP_ANT,130.23,-97.66,-90,top
C1,4.7uF 10V 20%,C_0402_1005Metric,135.7,-80.9,180,top
