Ref,Val,Package,PosX,PosY,Rot,Side
"C2","22uF 10V 20%","C_0805_2012Metric",167.845000,-111.550000,0.000000,bottom
"C3","22uF 10V 20%","C_0805_2012Metric",167.845000,-109.680000,0.000000,bottom
"C6","22uF 10V 20%","C_0805_2012Metric",167.845000,-120.382500,0.000000,bottom
"C7","22uF 10V 20%","C_0805_2012Metric",167.845000,-118.492500,0.000000,bottom
"C8","22uF 10V 20%","C_0805_2012Metric",135.628332,-76.488750,-60.000000,bottom
"C9","4.7uF 25V 20%","C_0402_1005Metric",127.082181,-73.686379,-150.000000,bottom
"C10","12nF 50V 5% NP0","C_0805_2012Metric",130.158660,-77.395000,-150.000000,bottom
"C11","22uF 10V 20%","C_0805_2012Metric",126.730328,-123.866250,60.000000,bottom
"C12","4.7uF 25V 20%","C_0402_1005Metric",128.576481,-132.668621,-30.000000,bottom
"C13","12nF 50V 5% NP0","C_0805_2012Metric",130.250000,-128.150000,-30.000000,bottom
"C14","22uF 10V 20%","C_0805_2012Metric",162.980108,-81.723750,-120.000000,bottom
"C15","4.7uF 25V 20%","C_0402_1005Metric",161.133957,-72.921380,150.000000,bottom
"C16","12nF 50V 5% NP0","C_0805_2012Metric",159.460436,-77.440000,150.000000,bottom
"C17","22uF 10V 20%","C_0805_2012Metric",136.950000,-107.750000,180.000000,bottom
"C18","4.7uF 25V 20%","C_0402_1005Metric",153.000000,-100.600000,90.000000,bottom
"C19","12nF 50V 5% NP0","C_0805_2012Metric",138.900000,-102.560000,90.000000,bottom
"C20","22uF 10V 20%","C_0805_2012Metric",172.050000,-107.839999,180.000000,bottom
"C21","4.7uF 25V 20%","C_0402_1005Metric",178.735000,-101.850000,90.000000,bottom
"C22","12nF 50V 5% NP0","C_0805_2012Metric",174.000000,-102.650000,90.000000,bottom
"C23","22uF 10V 20%","C_0805_2012Metric",153.969457,-128.920818,120.000000,bottom
"C24","4.7uF 25V 20%","C_0402_1005Metric",162.515608,-131.723188,30.000000,bottom
"C25","12nF 50V 5% NP0","C_0805_2012Metric",159.439128,-128.014567,30.000000,bottom
"C26","22uF 10V 20%","C_0805_2012Metric",117.500000,-97.600000,0.000000,bottom
"C27","4.7uF 25V 20%","C_0402_1005Metric",110.800000,-103.600000,-90.000000,bottom
"C28","12nF 50V 5% NP0","C_0805_2012Metric",115.550000,-102.790000,-90.000000,bottom
"D4","D_Schottky","D_SOD-523",134.922242,-82.265768,-150.000000,bottom
"D5","BAV99S","SOT-363_SC-70-6",128.360289,-75.200128,-60.000000,bottom
"D7","D_Schottky","D_SOD-523",132.086417,-121.589232,-30.000000,bottom
"D8","BAV99S","SOT-363_SC-70-6",129.248372,-130.804871,60.000000,bottom
"D10","D_Schottky","D_SOD-523",157.624018,-84.000767,150.000000,bottom
"D11","BAV99S","SOT-363_SC-70-6",160.462065,-74.785129,-120.000000,bottom
"D13","D_Schottky","D_SOD-523",132.300000,-104.250000,90.000000,bottom
"D14","BAV99S","SOT-363_SC-70-6",151.050000,-100.950000,180.000000,bottom
"D16","D_Schottky","D_SOD-523",168.450000,-106.800000,-90.000000,bottom
"D17","BAV99S","SOT-363_SC-70-6",176.785000,-102.200000,180.000000,bottom
"D19","D_Schottky","D_SOD-523",154.675546,-123.143799,30.000000,bottom
"D20","BAV99S","SOT-363_SC-70-6",161.237499,-130.209439,120.000000,bottom
"D22","D_Schottky","D_SOD-523",122.150000,-101.100000,-90.000000,bottom
"D23","BAV99S","SOT-363_SC-70-6",112.750000,-103.250000,0.000000,bottom
"D25","D_Schottky","D_SOD-523",134.349389,-77.573558,120.000000,bottom
"D26","D_Schottky","D_SOD-523",128.309270,-124.431443,-120.000000,bottom
"D27","D_Schottky","D_SOD-523",161.401165,-81.158557,60.000000,bottom
"D28","D_Schottky","D_SOD-523",136.650000,-106.100000,0.000000,bottom
"D29","D_Schottky","D_SOD-523",171.750001,-106.189999,0.000000,bottom
"D30","D_Schottky","D_SOD-523",155.248399,-127.836009,-60.000000,bottom
"D31","D_Schottky","D_SOD-523",117.800000,-99.250000,180.000000,bottom
"J2","USB_C_Receptacle_USB2.0","USB-C-SMD_10P-P1.00-L6.8-W8.9",178.745000,-114.600000,-0.000000,bottom
"R2","5.1k 1%","R_0402_1005Metric",173.990000,-115.100000,-0.000000,bottom
"R3","5.1k 1%","R_0402_1005Metric",173.990000,-114.100000,-0.000000,bottom
"R8","357k 1%","R_0402_1005Metric",170.140000,-117.050000,90.000000,bottom
"R9","1.5M 1%","R_0402_1005Metric",165.650000,-119.150000,-90.000000,bottom
"R10","47k 1%","R_0402_1005Metric",170.150000,-115.200000,90.000000,bottom
"R11","10k 1%","R_0402_1005Metric",132.749037,-78.901667,-60.000000,bottom
"R12","75R 1%","R_1210_3225Metric",137.864934,-80.162659,30.000000,bottom
"R13","3.57k 1%","R_0402_1005Metric",135.645799,-79.019006,30.000000,bottom
"R14","200R 5%","R_0402_1005Metric",131.796409,-79.451667,120.000000,bottom
"R15","10k 1%","R_0402_1005Metric",130.259622,-125.153334,60.000000,bottom
"R16","75R 1%","R_1210_3225Metric",128.793726,-120.092341,150.000000,bottom
