Designator,Mid X,Mid Y,Rotation,Layer
AE1,173.8,107.5,270.0,top
C1,164.5,138.5,270.0,top
C10,154.4,115.3,0.0,top
C11,154.2,113.866,90.0,top
C13,159.982,116.55,90.0,top
C14,155.95,116.55,270.0,top
C15,141.1,124.0,90.0,top
C16,116.8,108.6,270.0,top
C17,167.8,114.7,180.0,top
C18,167.8,113.1,180.0,top
C19,164.5,126.5,270.0,top
C2,120.4,125.9,270.0,top
C20,119.6,128.6,180.0,top
C21,146.9,127.6,0.0,top
C23,118.0,124.5,90.0,top
C24,146.9,126.0,0.0,top
C25,136.2,107.775,270.0,top
C26,145.7,123.8,270.0,top
C3,133.25,125.925,270.0,top
C34,141.6,101.2,180.0,top
C35,142.25,99.8,180.0,top
C36,120.4,119.01,0.0,top
C37,103.535,112.1,270.0,top
C38,114.5,124.5,90.0,top
C4,128.65,125.925,270.0,top
C40,108.6,105.1,0.0,top
C42,110.8,106.0,270.0,top
C43,107.038,114.9445,0.0,top
C45,104.948,104.9445,0.0,top
C46,113.7,108.6,270.0,top
C48,130.8,119.18,90.0,top
C49,97.275,109.3,90.0,top
C5,128.6,123.5375,90.0,top
C50,123.9,109.0,90.0,top
C51,109.0,124.5,270.0,top
C6,145.9,116.5,180.0,top
C7,145.9,110.7,180.0,top
C8,145.8,118.9,90.0,top
C9,150.6,121.0,270.0,top
D1,155.75,126.5,270.0,top
D10,159.1,132.5,270.0,top
D11,159.1,135.5,90.0,top
D12,155.7,132.5,270.0,top
D13,162.5,135.5,90.0,top
D14,162.5,138.5,270.0,top
D15,159.15,138.5,270.0,top
D16,155.75,138.5,270.0,top
D2,159.15,126.5,270.0,top
D3,162.5,126.5,270.0,top
D4,155.75,129.5,90.0,top
D5,90.0,109.0,90.0,top
D6,159.15,129.5,90.0,top
D7,162.5,129.5,90.0,top
D8,162.5,132.5,270.0,top
D9,155.75,135.5,90.0,top
J10,131.5,133.655,0.0,top
J11,143.3,96.075,0.0,top
J12,102.0,134.0,180.0,top
J13,95.43726,122.5,0.0,top
J2,154.85,96.925,90.0,top
J3,117.5,97.0,0.0,top
J5,174.0,123.44,90.0,top
J6,122.5,133.7,0.0,top
J7,144.87,134.0,180.0,top
J8,135.5,133.655,0.0,top
J9,111.5,134.0,180.0,top
JP1,166.5,134.435,180.0,top
L1,147.7246,121.1425,90.0,top
L2,149.1,122.2,270.0,top
L3,155.4256,113.385,0.0,top
L4,171.368,107.4492,0.0,top
L5,172.706,107.0174,270.0,top
L6,114.0,115.4,0.0,top
R1,123.1,127.4,0.0,top
R10,106.338,105.4445,90.0,top
R11,130.3,117.78,0.0,top
R12,129.8,119.18,90.0,top
R2,125.8,122.0375,180.0,top
R3,120.4,123.6,90.0,top
R4,153.6,121.4,90.0,top
R5,143.8,100.26,270.0,top
R6,144.8,100.26,270.0,top
R7,119.0,119.51,270.0,top
R8,120.4,120.01,0.0,top
R9,104.948,105.9445,180.0,top
SW1,159.2,121.9,0.0,top
SW2,165.1,97.0,270.0,top
U1,122.7,124.7,90.0,top
U2,135.55,124.7625,90.0,top
U3,126.3,124.7375,270.0,top
U4,130.95,124.7625,90.0,top
U5,150.0,114.5,90.0,top
U6,107.0,110.6,90.0,top
U7,132.0,108.275,180.0,top
W1,153.0,124.3,0.0,top
W10,110.8,108.1,0.0,top
W11,136.6,111.4,0.0,top
W12,104.9,103.1,0.0,top
W13,130.8,111.4,0.0,top
W14,128.0,119.4,0.0,top
W2,132.7,103.7,0.0,top
W3,139.1,111.4,0.0,top
W4,114.8,120.7,0.0,top
W5,133.2,111.4,0.0,top
W6,122.8,117.6,0.0,top
W7,142.0,106.9,0.0,top
W8,117.2,120.7,0.0,top
W9,108.5,103.1,0.0,top
Y1,157.95,116.55,180.0,top
