Ref,Val,Package,PosX,PosY,Rot,Side
"C14","10uF 10V 20%","C_0603_1608Metric",206.110000,-93.630000,180.000000,top
"C18","0.1uF 10V 20%","C_0402_1005Metric",206.390000,-94.910000,180.000000,top
"C43","0.1uF 10V 20%","C_0402_1005Metric",90.670000,-61.720000,0.000000,top
"C44","10uF 10V 20%","C_0603_1608Metric",90.320000,-63.680000,-90.000000,top
"C45","10uF 10V 20%","C_0603_1608Metric",82.300000,-67.750000,90.000000,top
"C46","3.3nF 50V 10%","C_0402_1005Metric",89.470000,-82.190000,90.000000,top
"C47","22uF 10V 20%","C_0805_2012Metric",92.390000,-67.680000,90.000000,top
"C48","22uF 10V 20%","C_0805_2012Metric",90.460000,-67.680000,90.000000,top
"C54","10nF 25V 10%","C_0402_1005Metric",209.170000,-93.000000,-90.000000,top
"C59","1nF 10V 20%","C_0402_1005Metric",195.700000,-102.610000,90.000000,top
"C60","1nF 10V 20%","C_0402_1005Metric",197.280000,-104.470000,-90.000000,top
"C63","1nF 10V 20%","C_0402_1005Metric",198.500000,-107.190000,90.000000,top
"C65","1nF 10V 20%","C_0402_1005Metric",195.680000,-96.550000,90.000000,top
"C66","1nF 10V 20%","C_0402_1005Metric",198.710000,-98.610000,-90.000000,top
"C71","1nF 10V 20%","C_0402_1005Metric",198.900000,-111.080000,90.000000,top
"C72","1nF 10V 20%","C_0402_1005Metric",198.570000,-109.190000,-90.000000,top
"C74","10uF 10V 20%","C_0603_1608Metric",85.130000,-84.160000,0.000000,top
"C75","0.1uF 10V 20%","C_0402_1005Metric",83.350000,-67.590000,90.000000,top
"D4","BAT54C","SOT-23",80.100000,-67.300000,90.000000,top
"F1","2000mA <150mR","Fuse_1210_3225Metric",80.100000,-71.800000,90.000000,top
"J3","TX_Coil","TX Coil",137.725561,-76.931985,90.000000,top
"J6","TX_Coil","TX Coil",167.425561,-76.931985,90.000000,top
"J9","TX_Coil","TX Coil",197.125561,-76.931985,90.000000,top
"J12","TX_Coil","TX Coil",108.025561,-76.931985,90.000000,top
"J15","TX_Coil","TX Coil",152.575499,-102.652904,90.000000,top
"J18","TX_Coil","TX Coil",122.875499,-102.652904,90.000000,top
"J21","TX_Coil","TX Coil",93.175499,-102.652904,90.000000,top
"J26","TX_Coil","TX Coil",182.275499,-102.652904,90.000000,top
"L4","2.2uH 1.5A 10%","SPM6530",86.100000,-77.400000,180.000000,top
"R18","120k 1%","R_0402_1005Metric",82.950000,-63.060000,-90.000000,top
"R28","100k 0.1%","R_0402_1005Metric",197.310000,-102.610000,-90.000000,top
"R29","1k 0.1%","R_0402_1005Metric",198.720000,-102.610000,-90.000000,top
"R31","1k 0.1%","R_0402_1005Metric",195.750000,-104.500000,90.000000,top
"R32","100k 0.1%","R_0402_1005Metric",198.730000,-104.480000,90.000000,top
"R34","4.02M 1%","R_0402_1005Metric",209.680000,-90.570000,180.000000,top
"R36","10M 1%","R_0402_1005Metric",208.650000,-91.550000,180.000000,top
"R44","100k 0.1%","R_0402_1005Metric",197.410000,-107.180000,-90.000000,top
"R45","1k 0.1%","R_0402_1005Metric",195.740000,-107.190000,-90.000000,top
"R49","100k 0.1%","R_0402_1005Metric",197.340000,-96.530000,-90.000000,top
"R50","1k 0.1%","R_0402_1005Metric",198.700000,-96.530000,-90.000000,top
"R52","1k 0.1%","R_0402_1005Metric",195.670000,-98.590000,90.000000,top
"R53","100k 0.1%","R_0402_1005Metric",197.340000,-98.590000,90.000000,top
"R64","100k 0.1%","R_0402_1005Metric",197.850000,-111.060000,-90.000000,top
"R65","1k 0.1%","R_0402_1005Metric",196.740000,-111.060000,-90.000000,top
"R67","1k 0.1%","R_0402_1005Metric",196.310000,-109.170000,90.000000,top
"R68","100k 0.1%","R_0402_1005Metric",197.360000,-109.160000,90.000000,top
"R69","1R 5%","R_0402_1005Metric",88.340000,-82.170000,90.000000,top
"U16","ETA9882","ESSOP10",86.610000,-65.510000,-90.000000,top
"W2","GND","TestPoint_1.5x1.5_Drill0.9mm",85.160000,-112.780000,0.000000,top
"W3","GND","TestPoint_1.5x1.5_Drill0.9mm",162.980000,-62.100000,0.000000,top
"W5","5V_SENSE","TestPoint_1.5x1.5_Drill0.9mm",178.940000,-60.660000,0.000000,top
"W7","GND","TestPoint_1.5x1.5_Drill0.9mm",189.560000,-61.790000,90.000000,top
"W11","VBAT","TestPoint_1.5x1.5_Drill0.9mm",171.260000,-117.160000,0.000000,top
"W44","GND","TestPoint_1.5x1.5_Drill0.9mm",173.800000,-117.160000,0.000000,top
"W45","GND","TestPoint_1.5x1.5_Drill0.9mm",85.000000,-89.040000,0.000000,top
"W61","VBUS","TestPoint_1.5x1.5_Drill0.9mm",85.000000,-86.500000,0.000000,top
"W65","+5VD","TestPoint_1.5x1.5_Drill0.9mm",82.620000,-112.780000,0.000000,top
"W68","VDD","TestPoint_1.5x1.5_Drill0.9mm",198.770000,-67.340000,90.000000,top
